Region,Council,Care and Treatment Centre Sites
Morogoro,Kilombero,St Francis Ifakara Hospital
Morogoro,Kilombero,Kilombero District Hospital
Morogoro,Kilombero,Mlimba Health centre
Morogoro,Kilombero,Mang'ula Health centre
Morogoro,Kilombero,Mngeta Health Centre
Morogoro,Kilombero,Mkamba Dispensary
Morogoro,Kilombero,Kibaoni
Morogoro,Kilombero,Chita Dispensary
Morogoro,Kilombero,Kilombero Sugar (Illovo) Hospital
Morogoro,Mvomero,Mvomero
Morogoro,Mvomero,Turiani Hospital
Morogoro,Mvomero,Mlali Dispensary
Morogoro,Mvomero,Mgeta Health Centre
Morogoro,Mvomero,Melela Health Centre
Morogoro,Mvomero,Mvomero Dispensary
Morogoro,Mvomero,Lusanga Dispensary
Morogoro,Mvomero,Kibati Health Centre
Morogoro,Mvomero,Chazi Health Centre
Morogoro,Mvomero,Mtibwa Sugar Estate Hospital
Morogoro,Mvomero,Mzumbe University Health Centre
Pwani,Bagamoyo,Bagamoyo District Hospital
Pwani,Bagamoyo,Chalinze Health centre
Pwani,Bagamoyo,Lugoba Health centre
Pwani,Bagamoyo,Miono Health Centre
Pwani,Bagamoyo,Kiwangwa Dispensary
Pwani,Bagamoyo,Msata Dispensary
Pwani,Bagamoyo,Mbwewe Dispensary
Pwani,Bagamoyo,Ubena Prisons Dispensary
Pwani,Bagamoyo,Matipwili Dispensary
Pwani,Bagamoyo,Kerege Dispensary
Pwani,Bagamoyo,Kwaruhombo Dispensary
Pwani,Bagamoyo,Fukayose Dispensary
Pwani,Bagamoyo,Hondogo Dispensary
Pwani,Bagamoyo,Kibindu Disp
Pwani,Bagamoyo,Kidogozero Dispensary
Pwani,Bagamoyo,Kifuleta Dispensary
Pwani,Bagamoyo,Kigongoni Dispensary
Pwani,Bagamoyo,Kimanga Dispensary
Pwani,Bagamoyo,Kiromo Dispensary
Pwani,Bagamoyo,Kongo Dispensary
Pwani,Bagamoyo,Kwamduma Dispensary
Pwani,Bagamoyo,Kwamsanja Dispensary
Pwani,Bagamoyo,Kweikonje Dispensary
Pwani,Bagamoyo,Makurunge Dispensary
Pwani,Bagamoyo,Mandera Dispensary
Pwani,Bagamoyo,Mapinga Disp
Pwani,Bagamoyo,Masuguru Dispensary
Pwani,Bagamoyo,Matuli Dispensary
Pwani,Bagamoyo,Mihuga Dispensary
Pwani,Bagamoyo,Milo Dispensary
Pwani,Bagamoyo,Mkange Dispensary
Pwani,Bagamoyo,Mkenge Dispensary
Pwani,Bagamoyo,Mlingotini Dispensary
Pwani,Bagamoyo,Msinune Dispensary
Pwani,Bagamoyo,Pongwekiona Dispensary
Pwani,Bagamoyo,Rupungwi Dispensary
Pwani,Bagamoyo,Sadani Dispensary
Pwani,Bagamoyo,Talawanda Dispensary
Pwani,Bagamoyo,Tukamisasa Dispensary
Pwani,Bagamoyo,Ubena Estate Dispensary
Pwani,Bagamoyo,Vigwaza Dispensary
Pwani,Bagamoyo,Visezi Dispensary
Pwani,Bagamoyo,Yombo Dispensary
Pwani,Bagamoyo,Zinga Dispensary
Pwani,Kibaha TC,Tumbi Hospital
Pwani,Kibaha TC,Kongowe Dispensary
Pwani,Kibaha TC,Nyumbu Dispensary
Pwani,Kibaha TC,Mkoani Urban Health Centre
Pwani,Kibaha TC,Miswe Dispensary
Pwani,Kibaha TC,Mlandizi Health Centre
Pwani,Kibaha TC,Magindu Dispensary
Pwani,Kibaha TC,Mwendapole Dispensary
Pwani,Kibaha TC,Miswe Dispensary
Pwani,Kibaha TC,Police Dispensary
Pwani,Kibaha TC,Kongowe Forest Dispensary
Pwani,Kibaha TC,Mbwawa Dispensary
Pwani,Kibaha TC,Medwell Dispensary
Pwani,Kibaha TC,Misugusugu Dispensary
Pwani,Kibaha TC,Vikawe Dispensary
Pwani,Kibaha TC,Visiga kati Dispensary
Pwani,Kibaha TC,Viziwaziwa Dispensary
Pwani,Kisarawe,Kisarawe District Hospital
Pwani,Kisarawe,Maneromango Health Centre
Pwani,Kisarawe,Mzenga Health Centre
Pwani,Kisarawe,Homboza Dispensary
Pwani,Kisarawe,Masaki Health Centre
Pwani,Kisarawe,Manerumango Health Centre
Pwani,Kisarawe,Masanganya Dispensary
Pwani,Kisarawe,Chole Dispensary
Pwani,Kisarawe,Kihare Dispensary
Pwani,Kisarawe,Kiluvya Gov Disp
Pwani,Kisarawe,Kimalamisale Dispensary
Pwani,Kisarawe,Kurui Dispensary
Pwani,Kisarawe,Mafizi Dispensary
Pwani,Kisarawe,Marui Dispensary
Pwani,Kisarawe,Marumbo Disp
Pwani,Kisarawe,Msanga Dispensary
Pwani,Kisarawe,Mwanzo mgumu Dispensary
Pwani,Kisarawe,Sungwi Dispensary
Pwani,Kisarawe,Vikumburu Disp
Pwani,Kisarawe,Maneromango Mission Dispensary
Pwani,Kisarawe,Gwata Dispensary
Pwani,Rufiji,Mchukwi Mission Hospital
Pwani,Rufiji,Utete District Hospital
Pwani,Rufiji,Ikwiriri Health Centre
Pwani,Rufiji,Kibiti Health Centre
Pwani,Rufiji,Nyaminywili Health Centre
Pwani,Rufiji,Nyamisati Dispensary
Pwani,Rufiji,Mohoro Health Centre
Pwani,Rufiji,Mbwera Dispensary
Pwani,Rufiji,Bungu Dispensary
Pwani,Rufiji,Chumbi Dispensary
Pwani,Rufiji,Hanga Dispensary
Pwani,Rufiji,Ikwiriri Mission Disp
Pwani,Rufiji,jaja Dispensary
Pwani,Rufiji,Jaribu mpakani Dispensary
Pwani,Rufiji,Kikale Dispensary
Pwani,Rufiji,Kilimani Dispensary
Pwani,Rufiji,Kimbuga Dispensary
Pwani,Rufiji,Kindwitwi Dispensary
Pwani,Rufiji,Kingupira Dispensary
Pwani,Rufiji,Kiomboi Dispensary
Pwani,Rufiji,Kiongoroni Dispensary
Pwani,Rufiji,Kipugila Dispensary
Pwani,Rufiji,Kivinja A Dispensary
Pwani,Rufiji,Mahege Dispensary
Pwani,Rufiji,Mbuchi Dispensary
Pwani,Rufiji,Mbwara Dispensary
Pwani,Rufiji,Mchukwi Dispensary
Pwani,Rufiji,Mchungu Dispensary
Pwani,Rufiji,Mjawa Dispensary
Pwani,Rufiji,Mkongo Dispensary
Pwani,Rufiji,Mlanzi Dispensary
Pwani,Rufiji,Mng'aru Dispensary
Pwani,Rufiji,Mtanza Dispensary
Pwani,Rufiji,Mtunda Dispensary
Pwani,Rufiji,Muyuyu Dispensary
Pwani,Rufiji,Nambunju Dispensary
Pwani,Rufiji,Ndundunyikaza Dispensary
Pwani,Rufiji,Ngarambe Dispensary
Pwani,Rufiji,Ngorongo Dispensary
Pwani,Rufiji,Nyakinyo Dispensary
Pwani,Rufiji,Nyambunda Dispensary
Pwani,Rufiji,Nyamwange Dispensary
Pwani,Rufiji,Nyanjati Dispensary
Pwani,Rufiji,Pombwe Dispensary
Pwani,Rufiji,Ruaruke Dispensary
Pwani,Rufiji,Rungungu Dispensary
Pwani,Rufiji,Ruwe Dispensary
Pwani,Rufiji,Salali Dispensary
Pwani,Rufiji,Utunge Dispensary
Pwani,Rufiji,Nyambili Dispensary
Pwani,Rufiji,Mkenda Dispensary
Pwani,Rufiji,Maparoni Dispensary
Pwani,Rufiji,Mkupuka Dispensary
Pwani,Rufiji,Mtawanya Dispensary
Pwani,Rufiji,Ndundutawa Dispensary
Pwani,Rufiji,Mfisini Dispensary
Pwani,Mkuranga,Mkuranga District Hospital
Pwani,Mkuranga,Mkamba Health centre
Pwani,Mkuranga,Kisiju Health centre
Pwani,Mkuranga,Magawa Dispensary
Pwani,Mkuranga,Kibuyuni Dispensary
Pwani,Mkuranga,St. Fransis Xavery Dispensary
Pwani,Mkuranga,St. Vincent Dispensary
Pwani,Mkuranga,Kilimahewa (Kilimanjaro Sisters Dispensary)
Pwani,Mkuranga,Irene Kilimahewa Dispensary
Pwani,Mkuranga,Njianne Dispensary
Pwani,Mkuranga,Magawa Dispensary
Pwani,Mkuranga,Binga Dispensary
Pwani,Mkuranga,Bupu Dispensary
Pwani,Mkuranga,Kimanzichana Dispensary
Pwani,Mkuranga,Kisiju Mission Dispensary
Pwani,Mkuranga,Kiwambo Dispensary
Pwani,Mkuranga,Lukanga Dispensary
Pwani,Mkuranga,Magoza Dispensary
Pwani,Mkuranga,Mkiu Dispensary
Pwani,Mkuranga,Mlamleni Dispensary
Pwani,Mkuranga,Msorwa Dispensary
Pwani,Mkuranga,Msufini kidete Disp
Pwani,Mkuranga,Mwanambaya Health Centre
Pwani,Mkuranga,Nasibugani Disp
Pwani,Mkuranga,Njopeka Dispensary
Pwani,Mkuranga,Nyamato Dispensary
Pwani,Mkuranga,Shungubweni Disp
Pwani,Mkuranga,Sotele Dispensary
Pwani,Mkuranga,Uzima Mission Disp
Pwani,Mkuranga,Vihanze Dispensary
Pwani,Mkuranga,Vikindu Health Centre
Pwani,Mkuranga,Sangasanga Dispensary
Pwani,Mkuranga,Kitomondo Dispensary
Pwani,Mkuranga,Kiparang'anda arafa Dispensary
Pwani,Mkuranga,St. Magdalena Home
Pwani,Mafia,Kilindoni Hospital (Mafia DH)
Pwani,Mafia,Utende Dispensary
Pwani,Mafia,Kirongwe Dispensary
Pwani,Mafia,Baleni Dispensary
Pwani,Mafia,Chem chem Dispensary
Pwani,Mafia,Bweni Dispensari
Pwani,Mafia,Chole Dispensary
Pwani,Mafia,Chunguruma Disp
Pwani,Mafia,Jibondo Dispensary
Pwani,Mafia,Jimbo Dispensary
Pwani,Mafia,Jojo Dispensary
Pwani,Mafia,Kanga Dispensary
Pwani,Mafia,Marimbani Dispensary
Pwani,Mafia,Ndagoni Dispensary
Pwani,Kibaha DC,Soga Dispensary
Pwani,Kibaha DC,Kikongo Dispensary
Pwani,Kibaha DC,Ruvu JKT Dispensary
Pwani,Kibaha DC,Mlandizi Health Centre
Pwani,Kibaha DC,Bokomnemela Dispensary
Pwani,Kibaha DC,Disunyara Dispensary
Pwani,Kibaha DC,Dudumi Dispensary
Pwani,Kibaha DC,Gumba Dispensary
Pwani,Kibaha DC,Gwata Disp
Pwani,Kibaha DC,Kwala Dispensary
Pwani,Kibaha DC,Misugusugu Dispensary
Pwani,Kibaha DC,Lupunga Dispensary
Pwani,Kibaha DC,Mpelamumbi Dispensary
Pwani,Kibaha DC,Mwanabwito Dispensary
Pwani,Kibaha DC,Ruvu Station Dispensary
Pwani,Kibaha DC,Songa Dispensary
Pwani,Kibaha DC,Vikuge Dispensary
Dar es Salaam,Kinondoni,Mwananyamala Hospital
Dar es Salaam,Kinondoni,Mbweni Mission Health Centre
Dar es Salaam,Kinondoni,Tandale Dispensary
Dar es Salaam,Kinondoni,Kimara Dispensary
Dar es Salaam,Kinondoni,Sinza Health Centre
Dar es Salaam,Kinondoni,Bunju Dispensary
Dar es Salaam,Kinondoni,Tegeta Mission Dispensary
Dar es Salaam,Kinondoni,Ivera Sisters Dispensary
Dar es Salaam,Kinondoni,Luguruni Mission (Kilimanjaro Sisters) Dispensary
Dar es Salaam,Kinondoni,Lugalo RCH Clinic
Dar es Salaam,Kinondoni,Magomeni Health Centre
Dar es Salaam,Kinondoni,Kunduchi Dispensary
Dar es Salaam,Kinondoni,Ununio Dispensary
Dar es Salaam,Kinondoni,Tegeta Dispensary
Dar es Salaam,Kinondoni,Goba Dispensary
Dar es Salaam,Kinondoni,Kigogo Dispensary
Dar es Salaam,Kinondoni,Kibamba Dispensary
Dar es Salaam,Kinondoni,Bochi Dispensary
Dar es Salaam,Kinondoni,Mabibo Dispensary
Dar es Salaam,Kinondoni,Makuburi Dispensary
Dar es Salaam,Kinondoni,Oysterbay Police
Dar es Salaam,Kinondoni,St.Monica Modern Dispensary
Dar es Salaam,Kinondoni,Kijitonyama Dispensary
Dar es Salaam,Kinondoni,Makongo Juu Dispensary
Dar es Salaam,Kinondoni,Kibangu Mission Hospital
Dar es Salaam,Kinondoni,Manzese Parish
Dar es Salaam,Kinondoni,Moyo Safi wa Maria Health Centre
Dar es Salaam,Kinondoni,Kilimanjaro Sisters Dispensary
Dar es Salaam,Kinondoni,Edward Mchaud Dispensary
Dar es Salaam,Kinondoni,Tandale Parish
Dar es Salaam,Kinondoni,Kiluvya Dispensary
Dar es Salaam,Kinondoni,Lugalo Hospital
Dar es Salaam,Kinondoni,UDSM Health Centre
Dar es Salaam,Kinondoni,TMJ Hospital
Dar es Salaam,Kinondoni,Mikocheni (HKMU) Hospital
Dar es Salaam,Kinondoni,IMTU Hospital
Dar es Salaam,Kinondoni,Mburahati Dispensary
Dar es Salaam,Kinondoni,Oysterbay Hospital
Dar es Salaam,Kinondoni,Massana Hospital
Dar es Salaam,Kinondoni,Tanzania Heart Institute Hospital
Dar es Salaam,Kinondoni,Kinondoni Hospital
Dar es Salaam,Kinondoni,GS Barba Dispensary
Dar es Salaam,Kinondoni,Mbezi Dispensary
Dar es Salaam,Kinondoni,Kilimani (St. Raphael) Dispensary
Dar es Salaam,Kinondoni,Mikumi Hospital
